Country,Tourism Information
France,"Most visited country, International tourist arrivals in millions: 102.0"
Spain,"Most visited country, International tourist arrivals in millions: 93.7"
United States,"Most visited country, International tourist arrivals in millions: 72.3"
China,"Most visited country, International tourist arrivals in millions: 64.9"
Turkey,"Most visited country, International tourist arrivals in millions: 60.5"
Italy,"Most visited country, International tourist arrivals in millions: 57.7"
Mexico,"Most visited country, International tourist arrivals in millions: 45.0"
Hong Kong,"Most visited country, International tourist arrivals in millions: 45.0"
United Kingdom,"Most visited country, International tourist arrivals in millions: 41.7"
Germany,"Most visited country, International tourist arrivals in millions: 37.5"
